Model,MFG,Mileage,Listing_price (lacs),Original_price (lacs),Age,Price_per_km,Brand_BMW,Brand_BYD,Brand_Bentley,Brand_Chevrolet,Brand_Citroen,Brand_Datsun,Brand_Fiat,Brand_Force,Brand_Ford,Brand_Honda,Brand_Hyundai,Brand_Isuzu,Brand_Jaguar,Brand_Jeep,Brand_Kia,Brand_Land,Brand_Lexus,Brand_MG,Brand_Mahindra,Brand_Maruti,Brand_Mercedes-Benz,Brand_Mini,Brand_Mitsubishi,Brand_Nissan,Brand_Porsche,Brand_Renault,Brand_Rolls-Royce,Brand_Skoda,Brand_Tata,Brand_Toyota,Brand_Volkswagen,Brand_Volvo,Fuel_Diesel,Fuel_Electric,Fuel_LPG,Fuel_Petrol,Transmission_Manual,City_Bangalore,City_Chandigarh,City_Chennai,City_Coimbatore,City_Faridabad,City_Ghaziabad,City_Gurgaon,City_Hyderabad,City_Jaipur,City_Mohali,City_New Delhi,City_Noida,City_Pune,City_Zirakpur
Kia Sonet HTK Plus BSVI,0.5885654409733341,-0.7809803044496711,-0.1644939860321138,-0.1644939860321138,-0.5885654409733286,-0.05112203591987685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Swift VXI,-1.079226555515093,-0.6616428101213099,-0.5438532544850702,-0.5438532544850702,1.0792265555150988,-0.07692049824879622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai i10 Magna,-1.9131225537593066,-0.3036303271362261,-0.6646398140160822,-0.6646398140160822,1.9131225537593126,-0.08651274505294657,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahindra Thar LX 4WD Hard Top AT BSVI,1.1444961064694765,-1.1389927874347547,0.3284941199055724,0.3284941199055724,-1.1444961064694712,0.020536837944603172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Creta 1.6 VTVT AT SX Plus,0.3106001082252629,0.2930571445055801,0.015343780380726351,0.015343780380726351,-0.31060010822525735,-0.06856054423983862,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Alto K10 VXI,-0.8012612227670218,-1.475972037044465,-0.6512190851793032,-0.6512190851793032,0.8012612227670277,-0.050515199646661214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Alto 800 LXI,-0.24533055727087943,0.2443674468196087,-0.6547979462024442,-0.6547979462024442,0.24533055727088518,-0.08864885214846215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Wagon R LXI BSII,-2.1910878865073777,-0.056810554491592974,-0.7138491530842723,-0.7138491530842723,2.191087886507384,-0.08958868570723615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata Safari XZ Plus BSVI,1.4224614392175476,-0.8854006119869872,0.9547947989552645,0.9547947989552645,-1.4224614392175423,0.03160727582144903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kia Seltos GTX Plus DCT,1.1444961064694765,-0.8108146780317614,0.44033352687873173,0.44033352687873173,-1.1444961064694712,-0.01100568356437162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Grand i10 1.2 Kappa Sportz BSIV,0.5885654409733341,0.5372813266485714,-0.40069881355942627,-0.40069881355942627,-0.5885654409733286,-0.08264691143224352,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Grand i10 Sportz,-0.24533055727087943,-0.048874611118756954,-0.4543817289065427,-0.4543817289065427,0.24533055727088518,-0.08024035954890678,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Alto K10 2010-2014 VXI,-1.3571918882631642,0.14388527659512854,-0.7004284242474932,-0.7004284242474932,1.3571918882631702,-0.08977375650741289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Ertiga VXI AT,1.7004267719656188,-1.7550427675313376,0.11197302800553599,0.11197302800553599,-1.7004267719656136,1.45654722038581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kia Seltos GTX Plus,1.1444961064694765,-1.2283467363131153,0.28286364186052343,0.28286364186052343,-1.1444961064694712,0.033759711010269054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Ertiga VXI,1.1444961064694765,-0.7511459308675807,-0.007024101013905509,-0.007024101013905509,-1.1444961064694712,-0.04287591958253057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Grand i10 Sportz,0.5885654409733341,-0.2439615799720455,-0.4221719796982728,-0.4221719796982728,-0.5885654409733286,-0.07699903529627809,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Baleno Alpha Diesel,0.3106001082252629,-0.48994599015638013,-0.3398581761660276,-0.3398581761660276,-0.31060010822525735,-0.06951520794974345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audi A6 45 TFSI Technology,1.4224614392175476,-0.8108146780317614,3.5047332779432967,3.5047332779432967,-1.4224614392175423,0.18541820037788054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volkswagen Taigun 1.0 TSI Topline AT BSVI,1.1444961064694765,-1.2284959081810258,0.45375425571551087,0.45375425571551087,-1.1444961064694712,0.05281887311575011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Grand i10 Sportz,-0.5232958900189506,-0.9185167666631074,-0.5089593595094445,-0.5089593595094445,0.5232958900189564,-0.06893771141483537,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG Hector Plus Sharp Hybrid MT,0.3106001082252629,1.1263311986533624,-0.024918406129610934,-0.024918406129610934,-0.31060010822525735,-0.0771410892515724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honda City ZX MT,0.3106001082252629,0.2632227709234898,-0.11886350798706481,-0.11886350798706481,-0.31060010822525735,-0.07228295361046298,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota Etios Liva 1.4 VD,-0.24533055727087943,0.8957114908638044,-0.4087512508614938,-0.4087512508614938,0.24533055727088518,-0.08456060567299423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahindra XUV300 W6 Diesel,1.1444961064694765,-0.8473021169226579,-0.13138952156805872,-0.13138952156805872,-1.1444961064694712,-0.0458071155861984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahindra Thar LX Hard Top,1.4224614392175476,-0.8064290251151941,0.3195469673477197,0.3195469673477197,-1.4224614392175423,-0.01908874828975009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Grand i10 Nios Sportz,0.8665307737214053,-0.6613444663854889,-0.3631207728164448,-0.3631207728164448,-0.8665307737213999,-0.06686765437195363,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata Tiago XT,1.7004267719656188,-1.4075021496735676,-0.3425423219333834,-0.3425423219333834,-1.7004267719656136,-0.008248470145754945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Dzire ZXI,0.8665307737214053,-1.4399619481308819,-0.25217608109907075,-0.25217608109907075,-0.8665307737213999,0.015776283993190657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Ecosport 1.5 Ti VCT MT Titanium,0.8665307737214053,-1.6093316869564085,-0.1528626877069053,-0.1528626877069053,-0.8665307737213999,0.15087480472957407,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota Urban cruiser Mid AT,1.1444961064694765,-1.1986615345989355,-0.02939198240853737,-0.02939198240853737,-1.1444961064694712,-0.005700804946953133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renault Lodgy 110PS RxL,-0.5232958900189506,0.11405090301303823,-0.5214853730904383,-0.5214853730904383,0.5232958900189564,-0.08376854568166577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kia Seltos HTX,1.4224614392175476,-0.36538748045115305,0.2649693367448178,0.2649693367448178,-1.4224614392175423,-0.04509473586262153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeep Compass 1.4 Sport DCT BSVI,1.1444961064694765,0.0019929958387070274,0.4385440963671612,0.4385440963671612,-1.1444961064694712,-0.04932303780879562,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai i20 Asta Turbo DCT,0.5885654409733341,0.49187341005662993,-0.23696592175072106,-0.23696592175072106,-0.5885654409733286,-0.07787222047367873,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Creta 1.6 CRDi SX Plus,-0.24533055727087943,0.4959308848637942,-0.09649562659243295,-0.09649562659243295,0.24533055727088518,-0.07403472068475556,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Venue S,0.5885654409733341,-1.1688271610168453,-0.23070291496022413,-0.23070291496022413,-0.5885654409733286,-0.030258910978940654,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Xcent Petrol,-0.8012612227670218,-0.3454282845247347,-0.5223800883462235,-0.5223800883462235,0.8012612227670277,-0.08005905908997958,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Freestyle Titanium,0.8665307737214053,-1.0612145755062454,-0.3756467863974386,-0.3756467863974386,-0.8665307737213999,-0.0522960453145379,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
